Name	Description	A54939	A54940	A54941	A54942	A54943	A54944	A54945	A54946	A54947
BLVRB	na	59.653231	96.41319	81.086072	44.685758	77.796608	80.168317	42.92284	75.99355	87.817763
CALM3	na	168.691813	224.172162	204.957022	176.948932	249.281313	248.947435	185.994253	265.146577	231.658107
NAPA	na	65.581436	75.531737	76.060072	56.448574	69.298715	73.254184	57.219908	76.009652	78.325387
PPP1R15A	na	15.772813	21.512123	22.827041	11.593611	17.021042	20.84951	11.566976	19.030798	23.350684
NR1H2	na	32.341343	47.695658	42.173954	25.763842	43.426821	41.910289	23.75801	47.398929	44.348105
LENG9	na	7.536077	5.088162	5.222439	7.443127	5.030342	4.604121	7.93008	5.42275	5.423439
SLC27A5	na	25.019146	15.059403	12.784193	24.086091	15.34785	12.341397	27.058048	16.278089	13.53396
CHMP2A	na	72.560735	107.385981	98.869078	66.942204	94.580813	106.195341	68.739042	100.245346	116.722283
CGREF1	na	9.525554	4.345837	4.446533	8.877927	4.229405	4.778224	8.223643	4.664539	5.965488
CAD	na	25.764146	18.107146	19.664037	26.883619	20.884067	19.307797	30.004727	23.002445	21.086787
NRBP1	na	79.644442	115.821797	89.208014	70.95327	106.105646	93.759845	68.080968	103.166364	92.360038
YPEL5	na	5.802109	11.948096	7.597962	4.619798	10.219813	7.518176	4.105068	10.078771	7.907744
ZFP36L2	na	174.795477	129.235768	140.905684	167.75857	120.81082	131.877621	163.779694	123.864143	144.801873
FBXO11	na	8.09021	2.348213	5.045114	9.263506	1.535152	5.39501	7.933859	2.147028	5.294896
RTN4	na	77.721982	122.303207	106.884511	80.194052	115.795646	113.710029	74.990785	95.388705	114.058756
NAGK	na	11.056107	27.814307	15.779056	8.476996	25.161408	18.453352	7.957915	25.91442	17.681044
WDR54	na	20.865994	15.764372	17.10078	20.955179	13.575417	15.845445	21.085785	15.106059	17.46293
CHMP3	na	16.305958	23.877043	24.790592	17.097602	21.74474	22.778883	16.928454	23.128771	23.842899
RPL31	na	80.154353	61.491857	59.544217	87.085843	67.029151	60.296974	75.41552	49.132227	56.549927
CNOT11	na	19.65807	25.871839	23.756355	21.470049	24.935381	25.291453	19.279378	24.661085	26.271101
RNF149	na	6.275036	14.422536	8.249305	6.797607	12.632213	9.948248	5.82402	13.429074	9.271463
